TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,PM_1,PM_25,PM_10,PN_03,PN_05,PN_1,PN_25,PN_5,PN_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ug/m3,ug/m3,ug/m3,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l,#/0.1l
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0,PN 0.3,PN 0.5,PN 1.0,PN 2.5,PN 5.0,PN 10.0
,55,56,10,14,53,58,113,112,89,87,88,0,0,0,0,0,0
2021-11-22T13:09:43Z,18.75,65.60,14,214,81.93,100.75,0.00,400.00,17,29,31,3126,911,212,8,4,0
2021-11-22T13:10:43Z,18.89,64.76,17,268,40.23,100.75,27.00,580.00,15,21,21,2595,769,144,2,0,0
2021-11-22T13:11:43Z,19.05,64.60,17,293,65.85,100.75,19.00,531.00,11,19,20,1482,489,166,12,0,0
2021-11-22T13:12:43Z,19.13,64.02,17,60,34.41,100.75,11.00,477.00,16,19,19,2568,758,108,0,0,0
2021-11-22T13:13:43Z,19.23,65.37,17,282,40.71,100.75,6.00,445.00,15,22,22,2523,756,137,4,0,0
2021-11-22T13:14:44Z,19.46,88.44,-1,294,66.77,100.75,null,null,14,23,24,2241,697,146,16,2,0
2021-11-22T13:15:44Z,19.70,61.73,7,80,47.53,100.76,null,null,14,21,21,2478,727,141,6,0,0
2021-11-22T13:16:44Z,19.72,61.60,9,82,65.40,100.77,null,null,13,20,20,2433,701,126,8,0,0
2021-11-22T13:17:44Z,19.66,61.43,11,93,55.00,100.77,null,null,10,13,13,1920,532,78,0,0,0
2021-11-22T13:18:44Z,19.67,61.29,11,90,46.01,100.77,null,null,13,21,21,2376,688,170,6,0,0
2021-11-22T13:19:44Z,19.69,61.23,13,89,57.73,100.77,0.00,400.00,15,20,20,2478,737,127,0,0,0
2021-11-22T13:20:44Z,19.77,61.35,13,86,58.00,100.77,53.00,748.00,12,18,18,2196,649,116,4,0,0
2021-11-22T13:21:44Z,19.82,61.49,14,84,40.67,100.77,18.00,520.00,14,20,22,2205,689,112,10,4,0
2021-11-22T13:22:44Z,19.82,61.34,15,87,60.63,100.77,18.00,520.00,14,20,20,2442,728,146,4,0,0
2021-11-22T13:23:44Z,19.87,61.41,15,88,52.99,100.77,13.00,491.00,13,18,18,2118,632,116,0,0,0
2021-11-22T13:24:44Z,19.90,61.05,16,93,49.09,100.77,9.00,465.00,11,17,17,2043,613,112,2,0,0
2021-11-22T13:25:44Z,19.90,60.96,18,90,34.72,100.77,6.00,443.00,12,19,20,2160,647,126,4,0,0
2021-11-22T13:26:44Z,19.89,60.82,18,89,55.78,100.77,3.00,421.00,13,19,19,2064,638,121,6,0,0
2021-11-22T13:27:44Z,19.90,60.40,18,83,76.54,100.78,0.00,403.00,11,14,14,1758,543,84,0,0,0
2021-11-22T13:28:44Z,20.00,60.75,19,84,53.36,100.77,0.00,400.00,12,17,18,1998,618,107,6,0,0
2021-11-22T13:29:44Z,20.05,60.81,20,84,56.39,100.77,0.00,400.00,11,15,15,1968,571,101,0,0,0
2021-11-22T13:30:44Z,20.11,60.57,20,83,49.76,100.78,0.00,400.00,14,19,19,2238,671,141,2,0,0
2021-11-22T13:31:44Z,20.15,60.52,20,84,42.84,100.78,0.00,400.00,12,16,16,1857,586,72,2,0,0
2021-11-22T13:32:44Z,20.21,60.50,22,83,66.92,100.78,0.00,400.00,9,12,12,1581,464,89,2,0,0
2021-11-22T13:33:44Z,20.25,60.38,21,85,56.14,100.78,0.00,400.00,null,19,19,2214,659,121,4,0,0
2021-11-22T13:34:44Z,20.28,60.37,23,81,42.52,100.78,0.00,400.00,10,14,14,1860,536,96,2,0,0
2021-11-22T13:35:44Z,20.31,60.64,23,83,59.79,100.78,0.00,400.00,11,17,17,1971,573,126,4,0,0
2021-11-22T13:36:44Z,20.38,60.55,23,84,69.22,100.78,0.00,400.00,10,16,16,1995,584,98,4,0,0
2021-11-22T13:37:44Z,20.41,60.20,24,83,73.24,100.78,0.00,400.00,10,16,16,1791,526,108,6,0,0
2021-11-22T13:38:44Z,20.41,60.32,25,83,61.92,100.77,0.00,400.00,11,17,17,1794,539,95,6,0,0
2021-11-22T13:39:44Z,20.48,60.07,25,81,68.99,100.77,0.00,400.00,10,14,14,1728,513,112,2,0,0
2021-11-22T13:40:44Z,20.50,60.21,26,83,62.53,100.77,0.00,400.00,9,15,16,1683,501,106,4,2,0
2021-11-22T13:41:44Z,20.50,60.21,26,82,70.36,100.76,0.00,400.00,10,14,14,1782,524,81,4,0,0
2021-11-22T13:42:44Z,20.52,59.89,27,84,68.48,100.76,0.00,400.00,9,13,13,1413,449,95,2,0,0
2021-11-22T13:43:44Z,20.53,60.05,27,84,42.78,100.76,0.00,400.00,9,14,14,1653,501,82,2,0,0
2021-11-22T13:44:44Z,20.56,59.90,29,82,62.83,100.75,0.00,400.00,12,15,15,1878,561,84,4,0,0
2021-11-22T13:45:47Z,20.07,58.23,30,88,53.96,100.78,0.00,400.00,13,18,18,2007,605,109,6,0,0
2021-11-22T13:46:50Z,19.63,58.79,30,92,48.81,100.78,2.00,417.00,15,20,20,2355,717,122,8,0,0
2021-11-22T13:47:53Z,19.20,60.19,31,80,41.67,100.78,1.00,408.00,12,18,18,2232,644,110,4,0,0
2021-11-22T13:48:56Z,18.72,61.09,33,84,49.99,100.78,2.00,415.00,12,20,20,2160,627,131,11,0,0
2021-11-22T13:49:59Z,18.34,61.91,33,76,56.59,100.77,0.00,400.00,14,19,19,2220,670,123,4,0,0
2021-11-22T13:51:02Z,18.13,62.94,34,81,66.97,100.77,0.00,400.00,13,17,17,2175,631,99,4,0,0
2021-11-22T13:52:05Z,17.86,63.38,35,81,54.40,100.78,2.00,416.00,12,21,21,2142,639,132,13,0,0
2021-11-22T13:53:08Z,17.67,63.77,36,75,53.80,100.78,0.00,400.00,13,15,17,1731,553,93,2,2,2
2021-11-22T13:54:11Z,17.46,64.17,36,74,53.38,100.79,3.00,425.00,12,19,20,2070,632,127,6,0,0
2021-11-22T13:55:14Z,17.30,64.51,39,73,54.39,100.79,2.00,414.00,12,16,16,1905,564,83,0,0,0
2021-11-22T13:56:17Z,17.13,64.88,39,73,75.14,100.78,0.00,400.00,13,22,22,2205,666,169,7,0,0
2021-11-22T13:57:20Z,16.92,65.37,40,73,58.30,100.77,0.00,400.00,12,20,20,2178,625,147,8,0,0
2021-11-22T13:58:23Z,16.67,66.15,41,70,53.73,100.77,0.00,400.00,15,18,18,2046,628,123,0,0,0
2021-11-22T13:59:26Z,16.57,66.43,42,73,57.33,100.77,3.00,424.00,12,21,23,2178,645,129,21,2,0
2021-11-22T14:00:29Z,16.40,67.09,43,67,47.67,100.77,1.00,409.00,12,16,16,1983,616,88,0,0,0
2021-11-22T14:01:32Z,16.25,67.59,45,74,58.77,100.76,0.00,400.00,13,19,19,2253,639,118,6,0,0
2021-11-22T14:02:35Z,16.11,68.08,45,79,54.07,100.77,0.00,400.00,13,19,19,2118,608,122,2,0,0
2021-11-22T14:03:38Z,15.98,68.59,46,79,42.33,100.76,6.00,442.00,15,25,25,2538,742,144,6,0,0
2021-11-22T14:04:41Z,15.69,69.30,48,76,53.30,100.77,3.00,422.00,6,13,13,1017,334,127,4,0,0
2021-11-22T14:05:44Z,15.58,69.49,48,80,43.09,100.77,4.00,428.00,12,22,22,2073,620,145,6,0,0
2021-11-22T14:06:47Z,15.55,69.73,49,80,47.74,100.77,3.00,420.00,13,23,23,2250,659,160,8,0,0
2021-11-22T14:07:50Z,15.55,69.98,51,80,40.47,100.77,0.00,400.00,11,18,19,2016,582,136,6,0,0
2021-11-22T14:08:53Z,15.38,70.16,51,78,63.05,100.78,0.00,400.00,9,13,13,1743,479,74,4,0,0
2021-11-22T14:09:56Z,15.34,70.28,52,76,54.77,100.78,0.00,400.00,13,23,24,2271,668,148,13,0,0
2021-11-22T14:10:59Z,15.14,70.76,52,78,60.45,100.78,0.00,400.00,10,17,17,1572,464,137,2,0,0
2021-11-22T14:12:02Z,15.06,71.04,54,80,66.95,100.78,5.00,435.00,11,17,17,1821,531,127,2,0,0
2021-11-22T14:13:05Z,14.89,71.20,55,76,52.14,100.79,3.00,422.00,14,21,21,2103,633,146,2,0,0
2021-11-22T14:14:08Z,14.78,71.69,55,75,53.51,100.79,2.00,416.00,12,20,20,2037,606,123,2,0,0
2021-11-22T14:15:11Z,14.67,71.88,56,63,69.61,100.78,0.00,403.00,13,19,20,1920,572,131,4,0,0
2021-11-22T14:16:14Z,14.78,71.88,57,74,73.20,100.79,0.00,400.00,12,19,19,1959,588,146,4,0,0
2021-11-22T14:17:17Z,15.02,71.89,58,64,52.61,100.78,1.00,411.00,7,10,10,1398,397,29,4,0,0
2021-11-22T14:18:20Z,15.21,71.42,59,62,51.44,100.79,1.00,411.00,12,17,17,1890,567,97,4,0,0
2021-11-22T14:19:23Z,15.41,71.23,59,65,65.92,100.79,2.00,416.00,35,50,50,5577,1638,258,10,0,0
2021-11-22T14:20:26Z,15.63,71.40,60,60,55.49,100.79,0.00,400.00,61,84,84,9126,2667,453,16,0,0
2021-11-22T14:21:03Z,15.84,70.64,-1,56,65.38,100.77,null,null,36,47,47,5499,1643,240,8,0,0
2021-11-22T14:22:03Z,16.10,69.03,61,83,69.39,100.78,null,null,27,37,38,4128,1205,232,8,0,0
2021-11-22T14:23:03Z,16.39,68.72,62,76,62.98,100.78,null,null,52,66,66,7281,2131,343,10,0,0
2021-11-22T14:24:03Z,16.60,67.92,63,78,49.65,100.79,null,null,28,38,39,4503,1348,180,4,2,0
2021-11-22T14:25:03Z,16.83,67.12,63,70,61.43,100.79,null,null,49,71,71,7932,2355,340,8,0,0
2021-11-22T14:26:03Z,17.06,66.70,63,75,54.98,100.80,1.00,408.00,16,26,26,2619,777,175,6,0,0
2021-11-22T14:27:03Z,17.26,65.89,64,69,60.70,100.80,78.00,913.00,255,350,361,37830,11255,1781,94,11,4
2021-11-22T14:28:03Z,17.47,65.52,64,89,57.05,100.81,75.00,897.00,10,18,18,2073,653,99,2,0,0
2021-11-22T14:29:03Z,17.65,64.22,65,85,62.26,100.80,81.00,935.00,26,35,35,4236,1253,180,2,0,0
2021-11-22T14:30:03Z,17.86,64.45,66,76,43.26,100.80,80.00,927.00,35,43,43,5409,1611,227,0,0,0
2021-11-22T14:31:03Z,18.03,63.59,67,82,64.10,100.80,65.00,827.00,21,29,30,3771,1076,129,10,2,0
2021-11-22T14:32:03Z,18.18,62.86,68,80,66.49,100.79,65.00,830.00,22,29,29,3561,1034,177,0,0,0
2021-11-22T14:33:03Z,18.36,63.29,69,84,40.96,100.80,63.00,819.00,69,89,89,10542,3097,451,12,0,0
2021-11-22T14:34:03Z,18.55,62.12,69,83,76.64,100.81,54.00,757.00,23,27,27,3441,1040,139,0,0,0
2021-11-22T14:35:03Z,18.66,61.83,69,78,61.14,100.80,53.00,754.00,24,31,32,3921,1120,167,6,0,0
2021-11-22T14:36:03Z,18.80,61.39,70,84,45.59,100.81,53.00,749.00,23,32,32,3735,1102,195,6,0,0
2021-11-22T14:37:03Z,18.90,61.05,70,85,66.84,100.81,53.00,754.00,31,39,41,4944,1465,157,10,2,0
2021-11-22T14:38:03Z,19.07,60.70,71,84,64.75,100.81,51.00,737.00,25,36,36,4260,1238,251,6,0,0
2021-11-22T14:39:03Z,19.18,61.58,71,84,58.95,100.81,48.00,717.00,38,50,50,5892,1743,313,2,0,0
2021-11-22T14:40:03Z,19.30,60.15,72,81,49.23,100.81,51.00,735.00,20,28,28,3723,1077,171,2,0,0
2021-11-22T14:41:03Z,19.42,60.12,73,80,41.25,100.82,42.00,678.00,20,26,26,3153,963,133,8,0,0
2021-11-22T14:42:03Z,19.48,60.23,74,84,58.60,100.82,39.00,660.00,49,68,68,7875,2322,372,14,0,0
2021-11-22T14:43:03Z,19.58,60.60,74,85,67.71,100.82,37.00,649.00,67,134,187,12051,3624,1012,182,62,33
2021-11-22T14:44:03Z,19.67,60.83,75,77,68.45,100.82,37.00,649.00,62,117,145,11100,3303,757,121,31,19
2021-11-22T14:45:03Z,19.74,59.60,76,83,50.57,100.82,36.00,640.00,27,38,38,4782,1426,202,2,0,0
2021-11-22T14:46:03Z,19.82,59.08,76,82,66.84,100.81,36.00,641.00,24,29,29,4110,1204,137,0,0,0
2021-11-22T14:47:03Z,20.21,59.52,82,10,61.24,100.81,33.00,617.00,43,58,60,7059,2071,357,14,2,2
